"";"OTU";"Sample";"Abundance";"names";"host_species";"gut_section";"region";"location";"year";"month";"day";"sample_lab";"Time";"SL..mm.";"FL..mm.";"TW..g.";"GW..g.";"Sex";"Sample_or_Control";"input";"filtered";"denoisedF";"denoisedR";"merged";"nochim";"perc_reads_retained";"Kingdom";"Phylum";"Class";"Order"
"70";"ASV_27";"581_5";0,0241256245538901;"581_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Palfrey Island North";2014;12;14;"S247";"16:45";190;235;381,1;308,6;"F";"Sample";35144;17699;17222;17193;16071;15963;45,42169360346;"Bacteria";"Verrucomicrobiota";"Lentisphaeria";"Victivallales"
"71";"ASV_23";"611_5";0,0239977413890457;"611_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Between South Island and Palfrey Island";2014;12;18;"S248";"09:45";210;256;493;391,5;"M";"Sample";30511;15091;14673;14708;13943;13898;45,5507849628003;"Bacteria";"Spirochaetota";"Spirochaetia";"Spirochaetales"
"72";"ASV_2";"568_4";0,0237995240095198;"568_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"South Island South";2014;12;12;"S246";"15:30";236;285;654,3;52,5;"M";"Sample";52502;25983;25713;25724;24787;24522;46,7067921222049;"Bacteria";"Bacillota";"Clostridia";"Peptostreptococcales-Tissierellales"
"73";"ASV_9";"568_5";0,0235975695916349;"568_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Between Bird Islet and South Island";2014;12;12;"S346";"15:30";236;285;654,3;52,5;"M";"Sample";38610;18739;18165;18254;17389;17305;44,8199948199948;"Bacteria";"Bacillota";"Clostridia";"Lachnospirales"
"74";"ASV_1";"581_5";0,0234118486795146;"581_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Palfrey Island North";2014;12;14;"S247";"16:45";190;235;381,1;308,6;"F";"Sample";35144;17699;17222;17193;16071;15963;45,42169360346;"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales"
"75";"ASV_2";"E1_5";0,0230725942599887;"E1_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"North Direction Island";2011;3;18;"S141";"09:40";NA;NA;NA;1262;"M";"Sample";60904;28698;28310;28291;27674;27425;45,0298830947064;"Bacteria";"Bacillota";"Clostridia";"Peptostreptococcales-Tissierellales"
"76";"ASV_171";"E2_5";0,0224703222159412;"E2_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"North Direction Island";2011;3;18;"S143";"10:30";NA;NA;NA;575;"F";"Sample";79090;37948;37479;37517;36730;36657;46,3484637754457;"Bacteria";"Cyanobacteria";"Vampirivibrionia";"Gastranaerophilales"
"77";"ASV_14";"611_5";0,0221626199887069;"611_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Between South Island and Palfrey Island";2014;12;18;"S248";"09:45";210;256;493;391,5;"M";"Sample";30511;15091;14673;14708;13943;13898;45,5507849628003;"Bacteria";"Pseudomonadota";"GammaPseudomonadota";"Enterobacterales"
"78";"ASV_35";"568_4";0,0218395632087358;"568_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"South Island South";2014;12;12;"S246";"15:30";236;285;654,3;52,5;"M";"Sample";52502;25983;25713;25724;24787;24522;46,7067921222049;"Bacteria";"Bacillota";"Clostridia";"Oscillospirales"
"79";"ASV_9";"568_4";0,0218395632087358;"568_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"South Island South";2014;12;12;"S246";"15:30";236;285;654,3;52,5;"M";"Sample";52502;25983;25713;25724;24787;24522;46,7067921222049;"Bacteria";"Bacillota";"Clostridia";"Lachnospirales"
"80";"ASV_27";"E2_5";0,0217637083097795;"E2_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"North Direction Island";2011;3;18;"S143";"10:30";NA;NA;NA;575;"F";"Sample";79090;37948;37479;37517;36730;36657;46,3484637754457;"Bacteria";"Verrucomicrobiota";"Lentisphaeria";"Victivallales"
