"","568_4","568_5","581_5","611_5","E05_5","E1_4","E1_5","E2_4","E2_5","E3_4","E3_5"
"ASV_1285",0,0,4,0,0,0,0,0,0,0,0
"ASV_1251",0,0,0,5,0,0,0,0,0,0,0
"ASV_870",0,0,12,0,0,0,0,0,0,0,0
"ASV_745",0,0,0,4,0,0,0,0,0,0,4
"ASV_1203",0,0,0,0,2,0,0,0,0,0,0
"ASV_1547",0,0,0,0,0,0,0,0,0,0,2
"ASV_362",0,0,0,0,16,0,0,0,0,0,0
"ASV_1186",0,0,0,0,0,0,0,0,0,0,4
"ASV_1194",0,0,5,0,0,0,0,0,0,0,0
"ASV_713",0,0,0,0,1,0,0,0,4,2,0
"ASV_1310",0,0,0,0,0,0,0,0,1,0,1
"ASV_1707",0,0,0,1,0,0,0,0,0,0,0
"ASV_186",0,7,15,24,0,0,8,0,3,9,21
"ASV_941",0,0,0,0,3,0,0,0,0,0,0
"ASV_235",0,4,0,0,0,0,0,3,29,0,0
"ASV_998",0,0,0,0,0,0,0,0,0,0,6
"ASV_140",0,34,11,17,8,0,0,0,9,0,7
"ASV_219",0,0,0,0,6,0,13,1,8,0,12
"ASV_380",0,33,0,10,0,0,0,0,0,0,0
"ASV_900",0,0,0,7,0,0,0,0,0,0,3
"ASV_358",0,0,0,12,0,0,0,0,16,0,0
"ASV_804",0,0,6,0,0,0,0,0,0,0,5
"ASV_400",0,0,0,0,0,0,0,7,11,0,0
"ASV_182",0,16,14,23,7,0,0,0,5,0,13
"ASV_685",0,0,0,0,0,0,0,0,8,0,0
"ASV_737",0,0,0,0,0,0,0,2,5,0,0
"ASV_367",0,8,0,0,4,0,10,0,0,0,0
"ASV_643",0,0,4,9,0,0,0,0,4,0,0
"ASV_553",0,0,0,0,0,0,4,0,8,0,0
"ASV_327",0,0,0,0,0,0,0,4,19,0,0
"ASV_495",0,13,0,0,0,0,0,0,0,0,12
"ASV_1033",0,0,0,0,3,0,0,0,0,0,0
"ASV_1306",0,0,0,0,0,0,0,2,0,0,0
"ASV_1352",0,0,0,0,0,0,0,0,2,0,0
"ASV_675",0,0,0,0,1,0,0,5,2,0,0
"ASV_117",0,13,11,14,8,0,13,3,10,0,19
"ASV_1311",0,0,0,0,0,0,0,0,0,9,0
"ASV_1180",0,0,0,0,0,0,0,2,0,0,0
"ASV_334",0,0,0,0,0,0,0,14,5,0,4
"ASV_1181",0,0,0,0,0,0,0,2,0,0,0
"ASV_1426",0,0,3,0,0,0,0,0,0,0,0
"ASV_1234",0,0,0,0,0,0,3,0,0,0,0
"ASV_1410",2,0,0,0,0,0,0,0,0,0,0
"ASV_125",0,10,11,19,7,0,18,1,11,0,8
"ASV_928",0,0,0,0,0,0,0,4,0,0,0
"ASV_1481",0,0,0,0,0,0,0,0,0,0,2
"ASV_1637",0,0,1,0,0,0,0,0,0,0,0
"ASV_82",0,0,0,0,0,58,2,11,0,0,0
"ASV_821",0,0,0,0,0,1,1,3,1,0,0
"ASV_11",43,10,6,0,0,594,4,166,5,34,5
"ASV_477",21,0,0,0,0,0,0,0,0,0,0
"ASV_536",0,0,0,1,0,6,2,0,2,4,0
"ASV_1705",0,0,0,1,0,0,0,0,0,0,0
"ASV_632",0,2,0,0,7,0,0,0,0,0,0
"ASV_1204",0,0,0,0,2,0,0,0,0,0,0
"ASV_57",0,21,19,10,25,0,27,12,11,10,17
"ASV_1210",0,0,0,0,0,0,0,2,0,0,0
"ASV_1562",0,0,2,0,0,0,0,0,0,0,0
"ASV_840",0,0,0,0,3,0,0,0,0,0,3
"ASV_740",0,2,0,2,2,0,2,0,0,0,3
"ASV_393",0,8,4,0,4,0,3,3,3,0,0
"ASV_1680",0,0,0,0,0,0,0,0,0,3,0
"ASV_1142",0,0,0,0,0,0,4,0,0,0,0
"ASV_517",0,0,0,0,0,0,17,0,0,0,0
"ASV_223",0,4,0,7,13,0,6,0,3,0,11
"ASV_905",0,0,0,0,2,0,3,0,0,0,0
"ASV_253",0,13,7,11,8,0,8,0,0,0,0
"ASV_1183",0,0,0,0,0,0,0,0,3,0,0
"ASV_782",0,0,0,0,3,0,3,0,0,0,2
"ASV_1515",0,0,0,3,0,0,0,0,0,0,0
"ASV_73",0,52,23,14,20,0,6,5,0,15,15
"ASV_762",0,0,0,0,5,0,0,0,0,0,0
"ASV_319",0,0,0,0,19,0,0,0,0,0,0
"ASV_993",0,0,0,0,0,0,0,0,4,0,0
"ASV_927",0,0,0,0,0,0,3,2,0,0,0
"ASV_751",0,0,7,0,0,0,5,0,0,0,0
"ASV_270",0,10,0,0,2,0,13,5,5,0,3
"ASV_321",0,0,0,9,9,0,4,0,0,0,6
"ASV_1394",0,0,0,0,0,0,2,0,0,0,0
"ASV_1263",0,0,0,0,0,0,3,0,0,0,0
"ASV_1662",0,0,0,0,0,0,1,0,0,0,0
"ASV_469",0,3,11,9,2,0,0,0,3,0,0
"ASV_408",0,0,0,0,3,0,5,0,5,0,9
"ASV_1552",0,2,0,0,0,0,0,0,0,0,0
"ASV_1666",0,0,0,0,0,0,1,0,0,0,0
"ASV_1556",0,2,0,0,0,0,0,0,0,0,0
"ASV_1253",0,0,0,5,0,0,0,0,0,0,0
"ASV_231",0,0,0,0,0,16,0,7,0,39,0
"ASV_1673",0,0,0,0,0,0,0,1,0,0,0
"ASV_1172",0,0,0,3,0,0,2,0,0,0,0
"ASV_1206",0,0,0,0,0,0,3,0,0,0,0
"ASV_1378",0,0,0,4,0,0,0,0,0,0,0
"ASV_1030",0,0,3,0,0,0,0,0,0,0,4
"ASV_1165",0,3,0,0,0,0,0,0,0,0,0
"ASV_1541",0,0,0,0,0,0,0,0,1,0,0
"ASV_743",0,0,3,0,0,0,0,2,1,0,3
"ASV_1177",0,0,0,0,0,0,3,0,0,0,0
"ASV_844",0,0,0,0,1,0,0,1,1,0,3
"ASV_1495",0,0,2,0,0,0,0,0,0,0,0
"ASV_1314",0,2,0,2,0,0,0,0,0,0,0
"ASV_1532",0,0,0,0,0,0,1,0,0,0,0
"ASV_727",0,9,2,0,0,0,0,0,2,0,0
"ASV_754",0,0,0,0,3,0,0,0,0,0,5
"ASV_149",0,5,10,10,5,0,13,4,12,0,13
"ASV_748",0,4,0,2,2,0,0,0,0,0,3
"ASV_1620",0,0,0,0,0,0,0,0,0,0,1
"ASV_559",0,0,0,0,3,0,0,0,2,0,8
"ASV_679",0,18,0,0,0,0,0,0,0,0,0
"ASV_614",0,0,7,0,0,0,0,0,0,0,11
"ASV_1104",0,0,0,0,2,0,0,0,0,0,0
"ASV_815",0,0,5,0,0,0,1,0,3,0,0
"ASV_1334",0,0,0,0,1,0,0,0,0,0,0
"ASV_846",0,0,0,0,0,0,0,3,3,0,0
"ASV_907",0,0,0,0,0,0,6,0,0,0,0
"ASV_1448",0,0,0,0,1,0,0,0,0,0,0
"ASV_355",0,3,0,0,2,0,6,3,5,5,5
"ASV_35",0,0,0,0,0,36,0,102,2,92,3
"ASV_1281",0,2,0,0,0,0,0,0,0,0,0
"ASV_1201",0,0,0,0,2,0,0,0,0,0,0
"ASV_520",0,3,0,0,1,0,2,0,2,0,7
"ASV_635",0,0,3,0,3,0,2,1,2,0,0
"ASV_1019",0,0,0,0,0,0,0,0,0,0,6
"ASV_447",0,0,0,0,0,0,8,9,0,0,0
"ASV_682",0,0,0,0,4,0,0,0,0,0,5
"ASV_1305",0,0,0,0,0,0,0,2,0,0,0
"ASV_676",0,0,0,0,0,0,6,0,4,0,0
"ASV_1216",0,0,0,0,0,0,0,0,0,0,4
"ASV_806",0,0,0,0,2,0,4,0,0,0,0
"ASV_1351",0,0,0,0,0,0,0,0,2,0,0
"ASV_1256",0,0,0,0,2,0,0,0,0,0,0
"ASV_389",0,0,6,0,2,0,2,5,1,13,5
"ASV_1332",0,0,0,0,1,0,0,0,0,0,0
"ASV_764",0,0,0,0,2,0,4,2,0,0,0
"ASV_1045",0,4,0,0,0,0,0,0,0,7,0
"ASV_331",0,0,0,0,0,0,8,10,7,0,0
"ASV_1069",0,0,0,0,0,0,0,0,0,0,5
"ASV_841",0,0,0,0,2,0,0,1,2,0,0
"ASV_949",0,0,0,0,0,0,0,4,0,0,0
"ASV_1675",0,0,0,0,0,0,0,0,1,0,0
"ASV_890",0,0,0,0,4,0,0,0,0,0,0
"ASV_996",0,0,0,0,0,0,0,0,4,0,0
"ASV_515",0,0,0,0,4,0,4,1,1,0,5
"ASV_1010",0,0,0,0,3,0,0,0,0,0,0
"ASV_458",0,0,12,0,0,0,0,7,3,0,0
"ASV_1477",0,0,0,0,0,0,0,0,0,0,2
"ASV_784",0,0,0,0,0,0,0,4,2,0,0
"ASV_716",0,0,0,0,2,0,0,4,1,0,0
"ASV_1262",0,0,0,0,0,0,3,0,0,0,0
"ASV_301",0,7,9,9,3,0,3,7,0,0,0
"ASV_1302",0,0,0,0,0,0,2,0,0,0,0
"ASV_854",0,0,3,0,3,0,0,0,0,0,0
"ASV_568",0,0,0,3,2,0,3,4,1,0,0
"ASV_1146",0,0,0,0,0,0,0,1,1,0,0
"ASV_624",0,6,0,0,0,0,0,0,0,4,6
"ASV_700",0,0,0,0,1,0,6,0,3,0,0
"ASV_822",0,0,0,0,0,0,8,0,0,0,0
"ASV_93",0,11,0,0,3,0,73,0,11,0,0
"ASV_833",0,0,0,0,0,0,0,0,0,5,8
"ASV_1550",0,0,0,0,0,0,0,0,0,0,2
"ASV_1606",0,0,0,0,0,0,0,0,1,0,0
"ASV_436",0,6,0,6,9,0,0,0,0,0,0
"ASV_1264",0,0,0,0,0,0,3,0,0,0,0
"ASV_1395",0,0,0,0,0,0,2,0,0,0,0
"ASV_1078",0,0,0,8,0,0,0,0,0,0,0
"ASV_1242",0,0,0,0,0,0,0,0,0,0,3
"ASV_1456",0,0,0,0,0,0,2,0,0,0,0
"ASV_1364",0,3,0,0,0,0,0,0,0,0,0
"ASV_1141",0,0,0,0,0,0,4,0,0,0,0
"ASV_360",0,6,0,0,0,0,17,0,5,0,0
"ASV_801",0,0,0,0,0,0,0,0,0,0,10
"ASV_817",0,0,0,15,0,0,0,0,0,0,0
"ASV_1420",0,2,0,0,0,0,0,0,0,0,0
"ASV_586",0,12,0,8,0,0,0,0,2,0,0
"ASV_600",0,0,0,0,0,0,14,0,0,0,0
"ASV_1085",0,0,0,0,0,0,4,0,0,0,0
"ASV_468",0,4,0,0,7,0,0,0,4,0,0
"ASV_425",0,34,1,0,0,0,0,0,0,0,0
"ASV_404",0,20,0,22,0,0,0,0,0,0,0
"ASV_282",0,3,0,14,3,0,0,0,0,3,16
"ASV_657",0,0,0,17,0,0,0,0,0,0,3
"ASV_1338",0,0,0,0,0,0,2,0,0,0,0
"ASV_1276",0,0,0,0,0,0,0,0,0,0,3
"ASV_1611",0,0,0,0,0,0,0,0,0,4,0
"ASV_583",0,0,0,0,0,0,9,0,0,0,6
"ASV_402",0,0,0,39,1,0,0,0,0,0,3
"ASV_735",0,0,0,0,0,0,10,0,0,0,0
"ASV_1466",0,0,0,0,0,0,0,1,0,0,0
"ASV_1661",0,0,0,0,0,0,1,0,0,0,0
"ASV_1619",0,0,0,0,0,0,0,0,0,0,1
"ASV_1555",0,2,0,0,0,0,0,0,0,0,0
"ASV_701",0,0,0,0,0,0,0,4,4,0,0
"ASV_1538",0,0,0,0,0,0,0,1,0,0,0
"ASV_1152",0,0,0,0,0,0,0,0,0,0,4
"ASV_1417",0,2,0,0,0,0,0,0,0,0,0
"ASV_684",0,0,0,0,0,0,11,0,0,0,0
"ASV_1303",0,0,0,0,0,0,1,1,0,0,0
"ASV_1250",0,0,1,0,0,0,1,0,0,0,1
"ASV_704",0,14,0,0,0,0,0,0,0,2,1
"ASV_826",0,2,3,2,0,0,2,0,0,0,2
"ASV_864",0,0,0,0,0,0,0,1,4,0,0
"ASV_610",0,14,8,0,0,0,0,0,0,0,0
"ASV_666",0,2,0,0,0,0,0,1,6,0,0
"ASV_1022",0,0,0,0,0,0,0,0,0,0,6
"ASV_1439",0,0,0,3,0,0,0,0,0,0,0
"ASV_828",0,0,3,0,1,0,4,0,0,0,0
"ASV_1564",0,0,2,0,0,0,0,0,0,0,0
"ASV_1701",0,0,1,0,0,0,0,0,0,0,0
"ASV_1031",0,0,0,6,1,0,0,0,0,0,0
"ASV_462",0,0,6,0,0,0,0,8,4,0,0
"ASV_977",0,1,0,3,0,0,3,0,0,0,0
"ASV_1424",0,0,3,0,0,0,0,0,0,0,0
"ASV_1126",0,0,6,0,0,0,0,0,0,0,0
"ASV_773",0,2,0,0,0,0,2,0,0,4,5
"ASV_1005",0,0,4,0,0,0,0,2,0,0,0
"ASV_749",0,2,6,0,0,0,0,0,3,0,0
"ASV_906",0,0,0,0,2,0,0,0,0,0,3
"ASV_968",0,0,0,0,0,0,0,1,3,0,0
"ASV_64",154,3,0,0,0,0,0,0,0,0,0
"ASV_1145",0,0,0,0,0,0,1,0,2,0,0
"ASV_1123",0,2,0,0,2,0,0,0,0,0,0
"ASV_1129",0,0,0,7,0,0,0,0,0,0,0
"ASV_1405",0,0,0,0,0,0,0,0,0,0,2
"ASV_1160",0,5,0,0,0,0,0,0,0,0,0
"ASV_690",0,0,0,4,0,0,4,2,2,0,0
"ASV_1318",0,0,4,0,0,0,0,0,0,0,0
"ASV_1595",0,0,0,0,0,0,1,0,0,0,0
"ASV_1527",0,0,0,0,1,0,0,0,0,0,0
"ASV_1358",0,0,0,0,0,0,0,0,0,0,3
"ASV_1365",0,3,0,0,0,0,0,0,0,0,0
"ASV_816",0,0,4,0,2,0,0,1,0,0,0
"ASV_1235",0,0,0,0,0,0,3,0,0,0,0
"ASV_484",0,0,0,0,0,0,3,3,6,0,4
"ASV_820",0,0,0,0,2,0,0,1,2,0,0
"ASV_1500",0,0,2,0,0,0,0,0,0,0,0
"ASV_1230",0,0,0,0,2,0,0,0,0,0,0
"ASV_1356",0,0,0,0,0,0,0,0,0,0,3
"ASV_1535",0,0,0,0,0,0,1,0,0,0,0
"ASV_1309",0,0,0,0,0,0,0,0,2,0,0
"ASV_1582",0,0,0,0,1,0,0,0,0,0,0
