	OTU	Sample	Abundance	names	host_species	gut_section	region	location	year	month	day	sample_lab	Time	SL..mm.	FL..mm.	TW..g.	GW..g.	Sex	Sample_or_Control	input	filtered	denoisedF	denoisedR	merged	nochim	perc_reads_retained	Kingdom	Phylum	Class	Order
8	ASV_16	E05_5	0.336750456	E05_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Granite Bluffs	2005	3	22	S147	09:00	NA	NA	NA	656		Sample	107092	47810	47106	47221	45847	45378	42.37291301	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales
11	ASV_4	E05_5	0.314562561	E05_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Granite Bluffs	2005	3	22	S147	09:00	NA	NA	NA	656		Sample	107092	47810	47106	47221	45847	45378	42.37291301	Bacteria	Pseudomonadota	GammaPseudomonadota	Pseudomonadales
29	ASV_12	E05_5	0.079623648	E05_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Granite Bluffs	2005	3	22	S147	09:00	NA	NA	NA	656		Sample	107092	47810	47106	47221	45847	45378	42.37291301	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales
46	ASV_35	E05_5	0.04437579	E05_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Granite Bluffs	2005	3	22	S147	09:00	NA	NA	NA	656		Sample	107092	47810	47106	47221	45847	45378	42.37291301	Bacteria	Bacillota	Clostridia	Oscillospirales
50	ASV_1	E05_5	0.039882039	E05_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Granite Bluffs	2005	3	22	S147	09:00	NA	NA	NA	656		Sample	107092	47810	47106	47221	45847	45378	42.37291301	Bacteria	Bacteroidota	Bacteroidia	Cytophagales
59	ASV_23	E05_5	0.033000983	E05_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Granite Bluffs	2005	3	22	S147	09:00	NA	NA	NA	656		Sample	107092	47810	47106	47221	45847	45378	42.37291301	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales
60	ASV_17	E05_5	0.032579694	E05_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Granite Bluffs	2005	3	22	S147	09:00	NA	NA	NA	656		Sample	107092	47810	47106	47221	45847	45378	42.37291301	Bacteria	Verrucomicrobiota	Lentisphaeria	P.palmC41
84	ASV_27	E05_5	0.018536722	E05_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Granite Bluffs	2005	3	22	S147	09:00	NA	NA	NA	656		Sample	107092	47810	47106	47221	45847	45378	42.37291301	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales
99	ASV_2	E05_5	0.016008988	E05_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Granite Bluffs	2005	3	22	S147	09:00	NA	NA	NA	656		Sample	107092	47810	47106	47221	45847	45378	42.37291301	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales
103	ASV_28	E05_5	0.01460469	E05_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Granite Bluffs	2005	3	22	S147	09:00	NA	NA	NA	656		Sample	107092	47810	47106	47221	45847	45378	42.37291301	Bacteria	Bacillota	Clostridia	Clostridia vadinBB60 group
107	ASV_171	E05_5	0.013762112	E05_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Granite Bluffs	2005	3	22	S147	09:00	NA	NA	NA	656		Sample	107092	47810	47106	47221	45847	45378	42.37291301	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales
5	ASV_2	E1_4	0.456494325	E1_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	North Direction Island	2011	3	18	S140	09:40	NA	NA	NA	1262	M	Sample	84311	45242	45120	45137	44201	43946	52.12368493	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales
16	ASV_1	E1_4	0.273644388	E1_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	North Direction Island	2011	3	18	S140	09:40	NA	NA	NA	1262	M	Sample	84311	45242	45120	45137	44201	43946	52.12368493	Bacteria	Bacteroidota	Bacteroidia	Cytophagales
25	ASV_11	E1_4	0.092335715	E1_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	North Direction Island	2011	3	18	S140	09:40	NA	NA	NA	1262	M	Sample	84311	45242	45120	45137	44201	43946	52.12368493	Bacteria	Bacillota	Clostridia	Clostridiales
36	ASV_4	E1_4	0.063472047	E1_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	North Direction Island	2011	3	18	S140	09:40	NA	NA	NA	1262	M	Sample	84311	45242	45120	45137	44201	43946	52.12368493	Bacteria	Pseudomonadota	GammaPseudomonadota	Pseudomonadales
37	ASV_14	E1_4	0.062351128	E1_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	North Direction Island	2011	3	18	S140	09:40	NA	NA	NA	1262	M	Sample	84311	45242	45120	45137	44201	43946	52.12368493	Bacteria	Pseudomonadota	GammaPseudomonadota	Enterobacterales
48	ASV_9	E1_4	0.041754238	E1_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	North Direction Island	2011	3	18	S140	09:40	NA	NA	NA	1262	M	Sample	84311	45242	45120	45137	44201	43946	52.12368493	Bacteria	Bacillota	Clostridia	Lachnospirales
9	ASV_16	E1_5	0.335115363	E1_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S141	09:40	NA	NA	NA	1262	M	Sample	60904	28698	28310	28291	27674	27425	45.02988309	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales
13	ASV_4	E1_5	0.295019696	E1_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S141	09:40	NA	NA	NA	1262	M	Sample	60904	28698	28310	28291	27674	27425	45.02988309	Bacteria	Pseudomonadota	GammaPseudomonadota	Pseudomonadales
26	ASV_12	E1_5	0.083849184	E1_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S141	09:40	NA	NA	NA	1262	M	Sample	60904	28698	28310	28291	27674	27425	45.02988309	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales
34	ASV_35	E1_5	0.069077096	E1_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S141	09:40	NA	NA	NA	1262	M	Sample	60904	28698	28310	28291	27674	27425	45.02988309	Bacteria	Bacillota	Clostridia	Oscillospirales
51	ASV_1	E1_5	0.039814294	E1_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S141	09:40	NA	NA	NA	1262	M	Sample	60904	28698	28310	28291	27674	27425	45.02988309	Bacteria	Bacteroidota	Bacteroidia	Cytophagales
75	ASV_2	E1_5	0.023072594	E1_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S141	09:40	NA	NA	NA	1262	M	Sample	60904	28698	28310	28291	27674	27425	45.02988309	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales
81	ASV_14	E1_5	0.020962296	E1_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S141	09:40	NA	NA	NA	1262	M	Sample	60904	28698	28310	28291	27674	27425	45.02988309	Bacteria	Pseudomonadota	GammaPseudomonadota	Enterobacterales
82	ASV_9	E1_5	0.020962296	E1_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S141	09:40	NA	NA	NA	1262	M	Sample	60904	28698	28310	28291	27674	27425	45.02988309	Bacteria	Bacillota	Clostridia	Lachnospirales
87	ASV_26	E1_5	0.018148565	E1_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S141	09:40	NA	NA	NA	1262	M	Sample	60904	28698	28310	28291	27674	27425	45.02988309	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41
91	ASV_28	E1_5	0.017585819	E1_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S141	09:40	NA	NA	NA	1262	M	Sample	60904	28698	28310	28291	27674	27425	45.02988309	Bacteria	Bacillota	Clostridia	Clostridia vadinBB60 group
98	ASV_23	E1_5	0.016178953	E1_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S141	09:40	NA	NA	NA	1262	M	Sample	60904	28698	28310	28291	27674	27425	45.02988309	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales
113	ASV_17	E1_5	0.01223973	E1_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S141	09:40	NA	NA	NA	1262	M	Sample	60904	28698	28310	28291	27674	27425	45.02988309	Bacteria	Verrucomicrobiota	Lentisphaeria	P.palmC41
